h_type,date,adress,loc,num_floor,unit_per_floor,price,age,statuse,view,doc_status,north,south,west,east,floor,area,num_sleep,telephone,kitchen,service,floor_covering,open,parking,warehouse,balcony,equipment,Document_type,Propertyـstatus
آپارتمان,1404/02/11,فرجام غربی 15 متری عبادی,4,4,1,"14,850,000,000 تومان",2,اجاره,سنگ,اوقافي,1,0,0,0,2,135,3,1,MDF,ايراني فرنگي,سنگ,1,1,1,1,کولر_آسانسور_پکیج,اوقافي,اجاره
آپارتمان,1404/01/28,بنی هاشم خ صالحی,4,3,1,"4,500,000,000 تومان",30,تخلیه,سنگ,شخصي,1,0,0,0,2,48,1,1,MDF,ايرانی,سراميک,1,0,1,0,شوفاژ_کولر_گاز,شخصي,تخلیه
آپارتمان,1404/01/31,تهران پارس خ استخر,4,6,2,"7,800,000,000 تومان",6,مسکونی,سنگ,شخصي,0,1,0,0,6,78,2,1,MDF,ايراني فرنگي,سراميک,1,1,0,1,شوفاژ_کولر_آسانسور_پکیج_گاز,شخصي,مسکونی
آپارتمان,1404/02/02,لویزان خ شیان یكم,4,3,3,"18,500,000,000 تومان",780,17,اجاره,آجر سه سانت,0,1,0,0,2,110,2,1,MDF,ايراني فرنگي,سراميک,1,1,1,1,شوفاژ_کولر_گاز,شخصي,اجاره
آپارتمان,1404/02/06,تهران پارس خ استخر,4,5,3,"14,000,000,000 تومان",نوساز,تخلیه,سنگ,شخصي,1,0,0,0,1,119,2,1,MDF,ايراني فرنگي,سراميک,1,1,1,0,کولر_آسانسور_پاسیو_پکیج_گاز,شخصي,تخلیه
آپارتمان,1404/02/08,تهرانپارس بالاتر از سوم 212 غربی,4,5,2,"9,500,000,000 تومان",22,مسکونی,سنگ,منگوله دار,1,0,0,0,3,78,2,1,MDF,ايرانی,سنگ,1,1,1,1,شوفاژ_کولر_آسانسور,منگوله دار,مسکونی
آپارتمان,1404/02/06,اتوبان بابایی شهرك بهشتی,4,19,10,"13,375,000,000 تومان",نوساز,مسکونی,سيمان,تعاوني,0,1,0,0,8,107,2,1,MDF,ايراني فرنگي,سراميک,1,1,1,1,شوفاژ_کولر_آسانسور_گاز,تعاوني,مسکونی
آپارتمان,1404/02/07,تهرانپارس خ استخر خ بختیاری,4,5,4,"6,000,000,000 تومان",7,مسکونی,سنگ,شخصي,1,0,0,0,1,65,1,0,MDF,ايرانی,سراميک,0,1,1,0,کولر_آسانسور_پکیج_گاز,شخصي,مسکونی
آپارتمان,1404/02/10,تهرانپارس بالاتر از خ شاهد ك شیرود,4,7,12,"6,140,000,000 تومان",6,اجاره,سنگ,شخصي,0,1,0,0,4,64,1,یك,MDF,ايرانی,سراميک,1,1,1,0,شوفاژ_کولر_آسانسور_گاز,شخصي,اجاره
آپارتمان,1404/02/10,تهرانپارس ك 210,4,4,3,"5,100,000,000 تومان",16,تخلیه,آجر,شخصي,1,0,0,0,3,62,1,,MDF,ايرانی,سراميک,1,1,1,0,کولر_گاز,شخصي,تخلیه
آپارتمان,1404/02/03,اتوبان باقری نرسیده به رسالت,4,4,1,"4,000,000,000 تومان",20,اجاره,سنگ,شخصي,0,1,0,0,4,60,1,1,MDF,ايرانی,سراميک,1,0,0,0,شوفاژ_کولر_گاز,شخصي,اجاره
آپارتمان,1404/01/30,لویزان شیان خ شاه رضایی,4,12,3,"12,880,000,000 تومان",19,مسکونی,ترکیبی,شخصي,1,0,0,0,3,112,3,1,MDF,ايراني فرنگي,سراميک,1,1,1,1,کولر_آسانسور_پکیج,شخصي,مسکونی
